,,,,,,,
,Healthiest Foods Quiz,,,,,,
,"Basic quiz about healthy foods and their benefits",,,,,,
,See template instructions for upload guidance,,,,,,
,,,,,,,
,Question - max 95 characters,Answer 1 - max 60 characters,Answer 2 - max 60 characters,Answer 3 - max 60 characters,Answer 4 - max 60 characters,"Time limit (sec) - 5,10,20,30,60,90 or 120 secs",Correct answer(s) - choose at least one
1,Which food has good fat and is good for your heart?,Avocados,Blueberries,Almonds,Broccoli,20,1
2,Which food can help improve your memory?,Blueberries,Salmon,Oats,Garlic,20,1
3,What is good for your skin according to apples?,Collagen,Vitamins,Fiber,Protein,20,1
4,What can oats and garlic help prevent?,Cancer,Headaches,Colds,Injuries,20,1
5,Which food is a green vegetable good for immune system?,Kale,Garlic,Sweet Potatoes,Almonds,20,1
6,What properties does garlic have?,Anti-inflammatory,Anti-bacterial,Anti-viral,All of the above,20,1
7,Which food is a great source of Vitamin A?,Sweet Potatoes,Kale,Avocado,Almonds,20,1
8,What type of food is an almond?,Healthy seed,Fruit,Vegetable,Grain,20,1
9,Which food helps your body absorb nutrients?,Avocado,Salmon,Broccoli,Oats,20,1
10,What is salmon good for?,Heart health,Brain health,Muscle health,All of the above,20,4
