,,,,,,,
,Nintendo Blunders Quiz,,,,,,
,"Basic quiz about Nintendo's biggest mistakes",,,,,,
,See template instructions for upload guidance,,,,,,
,,,,,,,
,Question - max 95 characters,Answer 1 - max 60 characters,Answer 2 - max 60 characters,Answer 3 - max 60 characters,Answer 4 - max 60 characters,"Time limit (sec) - 5,10,20,30,60,90 or 120 secs",Correct answer(s) - choose at least one
1,Which Nintendo console only had red and black graphics?,Virtual Boy,3DS,Wii U,Nintendo Switch,20,1
2,What company did Nintendo lose to Microsoft?,Sony,Sega,Rare,Capcom,20,3
3,Which console was too expensive when it first came out?,Virtual Boy,3DS,Wii,GameCube,20,2
4,What did Nintendo use instead of cheaper CDs for N64?,Cartridges,Floppy disks,Memory cards,DVDs,20,1
5,Which company did Nintendo partner with that led to PlayStation?,Microsoft,Sony,Sega,Atari,20,2
6,Which console gave players headaches?,Virtual Boy,3DS,Wii U,Nintendo Switch,15,1
7,What did many people think the Wii U was?,New console,Add-on for Wii,Portable system,VR headset,20,2
8,Which movie was a critical and financial failure?,Mario Movie,Zelda Movie,Pokemon Movie,Metroid Movie,20,1
9,What made N64 games more expensive than PlayStation games?,Using cartridges,Better graphics,More content,Faster loading,20,1
10,What does neglecting franchises mean for Nintendo?,Making sequels,Not making new games,Selling rights,Canceling projects,20,2
