,,,,,,,
,Lesson 9 Part 2 - Vocabulary Quiz,,,,,,
,"Vocabulary questions showing Japanese translations with English word choices.",,,,,,
,"Remember: questions have a limit of 95 characters and answers can have 60 characters max. Text will turn red in Excel or Google Docs if you exceed this limit. If several answers are correct, separate them with a comma.  ",,,,,,
,"And remember,  if you're not using Excel you need to export to .xlsx format before you upload to Kahoot!",,,,,,
,,,,,,,
,Question - max 95 characters,Answer 1 - max 60 characters,Answer 2 - max 60 characters,Answer 3 - max 60 characters,Answer 4 - max 60 characters,"Time limit (sec) - 5,10,20,30,60,90 or 120 secs",Correct answer(s) - choose at least one
1,組織,organization,community,society,committee,20,1
2,「テーブルフォーツー」,TABLE FOR TWO,FOOD FOR ALL,SHARE A MEAL,DOUBLE SERVING,20,1
3,〜に教える,educate,communicate,train,demonstrate,20,1
4,健康的な,healthy,nutritious,fresh,delicious,20,1
5,１食（分）,meal,food,dish,portion,20,1
6,〜に参加する,participate,cooperate,contribute,attend,20,1
7,〜を寄付する,donate,contribute,support,share,20,1
8,,,,,,,
9,,,,,,,
10,,,,,,,

